,0
2023-01-01,50.49671415301123
2023-01-02,49.96173569882882
2023-01-03,50.8476885381007
2023-01-04,51.82302985640802
2023-01-05,50.165846625276664
2023-01-06,50.26586304305082
2023-01-07,52.17921281550739
2023-01-08,51.46743472915291
2023-01-09,50.330525614065046
2023-01-10,51.442560043585964
2023-01-11,50.53658230718754
2023-01-12,50.63427024642974
2023-01-13,51.441962271566034
2023-01-14,49.3867197553422
2023-01-15,49.67508216748696
2023-01-16,50.937712470759024
2023-01-17,50.587168879665576
2023-01-18,52.014247332595275
2023-01-19,50.891975924478785
2023-01-20,50.48769629866471
2023-01-21,53.465648768921554
2023-01-22,51.874223699513465
2023-01-23,52.26752820468793
2023-01-24,50.87525181378654
2023-01-25,51.85561727547481
2023-01-26,52.610922589709865
2023-01-27,51.449006422577696
2023-01-28,53.075698018345676
2023-01-29,52.199361310081194
2023-01-30,52.608306250206724
2023-01-31,52.3982933877706
2023-02-01,54.95227818450894
2023-02-02,53.18650277526207
2023-02-03,52.2422890710441
2023-02-04,54.22254491210319
2023-02-05,52.27915635002898
2023-02-06,53.80886359500476
2023-02-07,51.74032987612023
2023-02-08,52.471813951101566
2023-02-09,54.09686123586912
2023-02-10,54.73846657999541
2023-02-11,54.27136828118997
2023-02-12,54.08435171761176
2023-02-13,53.99889630441071
2023-02-14,52.92147800963257
2023-02-15,53.78015579160529
2023-02-16,54.13936122904021
2023-02-17,55.75712222621892
2023-02-18,55.14361828956846
2023-02-19,53.13695984463727
2023-02-20,55.32408396939479
2023-02-21,54.71491771958368
2023-02-22,54.523077999694046
2023-02-23,55.911676288840866
2023-02-24,56.43099952249595
2023-02-25,56.431280119116195
2023-02-26,54.760782476777365
2023-02-27,55.390787624148786
2023-02-28,56.13126343140356
2023-03-01,56.87554512712236
2023-03-02,55.52082576215471
2023-03-03,55.914341023336185
2023-03-04,55.09366502599397
2023-03-05,55.103793375919324
2023-03-06,57.2125258223942
2023-03-07,57.856240028570824
2023-03-08,56.52798987841967
2023-03-09,57.703532897892025
2023-03-10,57.161636025047635
2023-03-11,56.25488024539487
2023-03-12,57.36139560550841
2023-03-13,58.63803656646597
2023-03-14,57.164173960890054
2023-03-15,58.86464365581401
2023-03-16,54.780254895910254
2023-03-17,58.321902504375224
2023-03-18,57.68704706823817
2023-03-19,57.40099264953413
2023-03-20,57.8917607765355
2023-03-21,55.912431085399106
2023-03-22,57.780328112162486
2023-03-23,58.45711257151175
2023-03-24,59.67789404474152
2023-03-25,57.78172978172635
2023-03-26,57.59150639710681
2023-03-27,57.99824295641546
2023-03-28,59.515402117702074
2023-03-29,59.02875110965969
2023-03-30,58.27023979623296
2023-03-31,59.413267433113354
2023-04-01,59.09707754934804
2023-04-02,60.06864499053289
2023-04-03,58.49794690612265
2023-04-04,58.97233785340223
2023-04-05,59.00789184686784
2023-04-06,58.036485051867885
2023-04-07,59.896120277064576
2023-04-08,59.96105527217989
2023-04-09,59.80511345664246
2023-04-10,59.66541286662485
2023-04-11,58.58462925794959
2023-04-12,59.67935467723464
2023-04-13,59.857285483473234
2023-04-14,59.49772273077838
2023-04-15,60.23871428833399
2023-04-16,60.904050856814536
2023-04-17,62.48618590121053
2023-04-18,60.874577812831845
2023-04-19,61.05755039072276
2023-04-20,60.82555408423383
2023-04-21,59.08122878470096
2023-04-22,61.07348612455078
2023-04-23,61.26023020994103
2023-04-24,63.76324211248529
2023-04-25,61.207639035218875
2023-04-26,61.80154734233361
2023-04-27,61.565288230294755
2023-04-28,60.531321962380474
2023-04-29,62.94282281451502
2023-04-30,62.65193303268677
2023-05-01,62.791031947043045
2023-05-02,61.19061254520526
2023-05-03,63.602794310936105
2023-05-04,60.898148937207715
2023-05-05,62.98685709380027
2023-05-06,64.69045562580997
2023-05-07,61.60946367486931
2023-05-08,62.13370227039723
2023-05-09,62.899651365087635
2023-05-10,62.3965243458838
2023-05-11,61.449336568933866
2023-05-12,63.16856297480603
2023-05-13,62.1376962862739
2023-05-14,63.773592430635176
2023-05-15,62.4805757657662
2023-05-16,65.04993440501754
2023-05-17,62.81674670766377
2023-05-18,63.377938483794324
2023-05-19,64.61351721736966
2023-05-20,62.66913568356604
2023-05-21,64.22745993460413
2023-05-22,65.40714275428242
2023-05-23,62.59251676543877
2023-05-24,64.4846338585323
2023-05-25,64.65988279424843
2023-05-26,65.28182287177731
2023-05-27,63.36304928912191
2023-05-28,63.37954338691573
2023-05-29,65.3219415656169
2023-05-30,65.19698467323319
2023-05-31,65.25049285034588
2023-06-01,65.44644820949696
2023-06-02,64.51997527842151
2023-06-03,65.532253697161
2023-06-04,65.69307247329868
2023-06-05,64.78564858197363
2023-06-06,67.46577451114474
2023-06-07,66.17383292091179
2023-06-08,64.60869650279734
2023-06-09,66.55655360863383
2023-06-10,65.02531832977267
2023-06-11,66.88708460374245
2023-06-12,67.35859557900741
2023-06-13,65.47931768164828
2023-06-14,67.36337612924433
2023-06-15,66.91278092693649
2023-06-16,67.42206015999449
2023-06-17,68.59679298265395
2023-06-18,66.55461188399713
2023-06-19,66.14626383564251
2023-06-20,66.11048557037448
2023-06-21,66.28418971503456
2023-06-22,67.1228982905859
2023-06-23,67.64115197481664
2023-06-24,67.67669079933002
2023-06-25,68.32718324903603
